ticker,prior_mean_ret,n_events,is_rich
A,0.4051780895004636,14,False
AAL,0.43677640894321923,13,True
AAPL,0.43901060280971976,38,True
ABBV,0.1129588518487967,37,False
ABNB,0.322962846288967,13,False
ABT,0.06944010283233108,37,False
ACN,0.21212186473040193,35,False
ADBE,0.13716203279647615,37,False
ADI,-0.1290094281140204,13,False
ADM,0.39950259471648497,13,False
ADP,0.2823265425003442,13,False
ADSK,0.3661784333293776,13,False
AEP,0.4184864731777504,13,True
AFL,0.14841696823264214,11,False
AIG,0.19707319923829894,13,False
AJG,0.5456466573932857,13,True
ALB,0.6946790107414712,13,True
ALGN,0.6533954128802932,9,True
ALL,0.577597632702121,13,True
AMAT,0.18821474817481537,14,False
AMD,0.2170124113620182,37,False
AME,0.5146238255096933,10,True
AMGN,0.004393416212130023,37,False
AMP,0.39454403774251545,9,False
AMT,0.3431906788789957,14,False
AMZN,0.33037675404295713,38,False
ANET,0.10160086588512054,13,False
AON,0.174433545469133,13,False
APA,0.31466269141383696,13,False
APD,0.48348360529952206,13,True
APH,0.46809031591437467,13,True
APTV,0.5366649076598754,12,True
ARE,0.2658210926747295,12,False
AVGO,0.1073745792833928,37,False
AXP,0.4836353266727898,13,True
AZO,0.48263583877086447,13,True
BA,0.3367528786268418,13,False
BAC,0.1937529055334302,13,False
BAX,0.12623879364535215,11,False
BBY,-0.03337954255229142,14,False
BDX,0.3035504501117417,9,False
BEN,0.18637966826153962,13,False
BIIB,0.5228535639783256,13,True
BKNG,0.19908046478536826,7,False
BKR,0.30247889040755366,12,False
BLK,-0.08900334864255573,12,False
BMY,0.09384133724813158,14,False
BRK-B,0.709243791256169,33,True
BSX,0.21940101790578087,13,False
BX,0.26476874097896635,11,False
BXP,0.3780534328591536,11,False
C,0.016249557574120884,13,False
CAG,0.23648015231177058,13,False
CAH,0.08134174033564522,12,False
CARR,0.15989614112267367,14,False
CAT,0.2175792139477024,37,False
CB,0.5678959909687241,13,True
CBRE,0.4853617595868954,11,True
CCI,0.4061897345928752,11,False
CCL,0.33330587508062315,13,False
CDNS,0.33889680384231796,14,False
CDW,0.09563686774207887,12,False
CE,0.3180190687893589,12,False
CF,0.29810355143834183,11,False
CHD,0.3895340061194021,14,False
CHTR,0.07190497536916345,9,False
CI,0.2766973361283286,10,False
CINF,0.45238884884269187,13,True
CL,0.33824024286736526,13,False
CLX,0.396941302596343,12,False
CMA,0.2696695385585015,11,False
CMCSA,0.2509171244475681,35,False
CME,0.6904994140995354,13,True
CMG,0.20871259115720392,13,False
CMI,0.2801346269818034,14,False
CNC,0.21175915633115044,13,False
CNP,0.769712362427006,14,True
COF,0.47732248186008536,12,True
COP,0.6399561250566371,14,True
COST,0.4788901165936559,37,True
CPB,0.2887901660724582,13,False
CPRT,0.317719146304619,13,False
CPT,0.41112065611596715,9,False
CRL,0.028765093916183343,12,False
CRM,0.15866302885302144,38,False
CSCO,0.17233895057773677,38,False
CSGP,0.35241601952051743,14,False
CSX,0.5964212335561833,13,True
CTAS,0.3545270923529081,13,False
CTRA,0.2457455567673848,10,False
CTSH,0.5942758389212178,14,True
CTVA,0.4772614005965539,13,True
CVS,0.20298168480041603,13,False
CVX,0.3270206161242035,37,False
CZR,0.1413580187802053,14,False
D,0.6617764499892461,14,True
DAL,0.07018800634028137,13,False
DD,0.14448761154971795,8,False
DE,0.09335547405281883,14,False
DFS,0.5805473725834596,7,True
DG,0.23478788226339847,13,False
DGX,0.15488202388031796,14,False
DHI,0.061657447291984344,13,False
DHR,0.09142931411168577,13,False
DIS,0.19609789671280564,38,False
DLR,0.4993240343720522,12,True
DLTR,0.3415489733401261,13,False
DOV,0.39456950654434214,12,False
DOW,0.15436626361172429,13,False
DPZ,0.42247452805519536,14,True
DRI,0.39714692667490104,8,False
DTE,0.6794970505274603,13,True
DUK,0.5781492583970563,14,True
DVN,0.47508974959835104,14,True
DXCM,0.20401649867975336,13,False
EA,0.36308793489798075,9,False
EBAY,0.10169799475807713,12,False
ECL,0.17098801126689636,13,False
ED,0.6306434949696192,14,True
EFX,0.3185116046715114,12,False
EIX,0.5519831047658699,14,True
EL,0.3024996710304737,11,False
EMR,0.13646671600368476,12,False
ENPH,0.17911473934168232,12,False
EOG,0.6977967366910754,11,True
EQIX,0.4927639738624319,13,True
EQR,0.5600291560400266,12,True
EQT,0.46751726493082296,14,True
ES,0.5799374394207336,13,True
ESS,0.4408525035970744,9,True
ETN,0.4111594338216209,13,False
ETR,0.5640849285268443,12,True
EVRG,0.6761472670646504,11,True
EW,0.5416454912229882,13,True
EXC,0.510300250684651,14,True
EXPE,-0.09932984605928202,13,False
F,0.24808576848521122,14,False
FANG,0.6444416022045291,14,True
FAST,0.13083545917789344,12,False
FCX,0.49135738029204895,13,True
FDX,0.314557923289014,10,False
FE,0.40296368339376304,12,False
FI,-0.1217472416076096,8,False
FICO,0.6642657818529728,12,True
FIS,0.12094637059732692,14,False
FITB,0.7551541726433988,13,True
FSLR,0.31073178606358237,14,False
FTNT,0.1287333015844827,12,False
GD,-0.1300360565944829,13,False
GE,0.1926370029474092,37,False
GILD,0.19013967047480262,14,False
GIS,0.41540100446048495,13,False
GLW,0.17463026684621294,13,False
GM,-0.18989758258070688,13,False
GOOGL,0.15444344814328564,37,False
GPN,0.35970315518677876,14,False
GS,0.4029437815557722,13,False
GWW,0.22598841492112973,11,False
HAL,0.08602217185613034,13,False
HAS,0.28038269907962765,13,False
HBAN,0.828317658774511,10,True
HCA,0.5163597455343228,13,True
HD,0.3972583241029393,35,False
HES,0.6494952430357289,6,True
HIG,0.4852071915907426,13,True
HLT,0.3789920377053224,13,False
HON,-0.012085935261862342,14,False
HPE,0.3872570290144936,14,False
HPQ,0.25084518616609996,14,False
HRL,0.26276192715390034,11,False
HST,0.5282652899640569,12,True
HSY,0.529335034867819,13,True
HUM,0.1716864058155904,13,False
IBM,0.0295920432244833,37,False
IDXX,-0.1983595104024005,14,False
IEX,0.06789012246773392,5,False
ILMN,0.053087201115694566,13,False
INTC,0.08574853640464362,37,False
INTU,0.13780026780706278,35,False
IP,0.020264195406260285,11,False
IQV,0.14047342275959848,13,False
IR,0.31038322503077836,12,False
IRM,0.1389575897513967,11,False
ISRG,0.2190071009081736,13,False
IT,0.4915360748923956,12,True
ITW,0.5337308434212412,14,True
IVZ,0.5173276336590472,11,True
JBHT,0.25910427419283316,12,False
JCI,0.0834209674092082,13,False
JNJ,0.27190784160028125,36,False
JNPR,0.7777215386588244,7,True
JPM,0.2750382012684078,37,False
K,0.5358465697491809,4,True
KDP,0.4199510710935987,14,True
KEY,0.5159707764423666,13,True
KHC,0.28677633028124705,14,False
KIM,0.6332982119917112,8,True
KLAC,0.8428164397942357,9,True
KMB,0.23247861528492256,11,False
KMI,0.41597196402480885,13,True
KMX,0.17735811761884182,9,False
KO,0.3108612334907076,37,False
KR,0.32274106771928673,12,False
LEN,0.3608249074746124,12,False
LH,0.23582598129071286,12,False
LHX,0.5959460560079991,12,True
LIN,0.5754911739903618,31,True
LLY,0.09680163458006634,37,False
LMT,-0.2100834619010867,13,False
LOW,0.41476250978517626,14,False
LRCX,0.4146289901169649,12,False
LULU,-0.08502476101987057,14,False
LUV,0.09435126315689478,13,False
LVS,-0.15928406865078248,13,False
LYB,0.6211342730799664,14,True
LYV,0.4258025081345963,14,True
MA,0.3506102037065909,36,False
MAR,0.24008362734867864,14,False
MAS,0.4827169320668853,12,True
MCD,0.45901535424016093,38,True
MCHP,0.41186226910102997,13,False
MCK,0.06650192188582578,9,False
MDLZ,0.07488197570671423,13,False
MDT,0.07850976590132278,13,False
MET,0.5763114772103773,13,True
META,-0.11363324324785228,24,False
MGM,0.2467472144544025,12,False
MKC,0.4235568153484038,13,True
MLM,0.5233769502637041,11,True
MMM,0.11622682819375575,12,False
MNST,0.29581577457466673,14,False
MO,-0.13347144596400168,14,False
MOS,0.1302098942704565,13,False
MPC,0.11854894725007868,13,False
MPWR,0.31052036829815355,13,False
MRK,0.18243098409725386,37,False
MRNA,0.4794025420499954,13,True
MS,0.13467820411997483,13,False
MSCI,0.04468661618065333,12,False
MSFT,0.2649359166866317,37,False
MSI,-0.008623966132019604,13,False
MTB,0.5559014017526234,10,True
MTCH,0.3844418103694068,11,False
MU,0.35519390370087184,13,False
NCLH,-0.05901137557085401,14,False
